video_id,success,fetched_count,expected_count
x8r9QneIJ_w,True,2,2
j9Yi9UwmrBE,True,18,18
QofbRZg55Fc,True,12,12
4x_bVKIfZ30,True,16,16
M6bj0cYTtEU,True,15,15
17tH3j83-kY,True,17,17
18tNwPPZmZI,True,11,11
51fTmZBnkLk,True,10,10
Rf5zCELTTmg,True,222,222
_HQrlDttgFs,True,8,8
OGMJ6jyT-Y0,True,0,0
-9zyRlcZyRM,True,0,0
1cNiEhT2Xnk,True,0,0
Ohg1ojbpnVk,True,0,0
DaCswtU7p6k,True,2,2
yb-ffTyUvnM,True,2,2
BLycgBBVbZY,True,85,85
L9vjNoAtfGU,True,8,8
xdLRJ5u_qz8,True,0,0
xB_apoAprbg,True,0,0
ey8i-DEBz6k,True,24,24
ioU-4d1Q3tI,True,0,0
t5jYuHESjY4,True,4,4
RP49kQGLEvI,True,0,0
ybU-xn-c0wM,True,9,9
F3SewE0AAMM,True,12,12
HFiCbni7l88,True,0,0
hnyP1SEw4M8,True,2,2
d3xaJcY1dbQ,True,7,7
hHBFeCphFzc,True,0,0
H4iIj8g8Dxc,True,6,6
